"","Think_well","Live_well","Feel_well"
"BM000903","8","5","8"
"BM000904","8","7","7"
"BM000905","5","6","7"
"BM000906","5","8","7"
"BM000907","1","6","1"
"BM000908","1","4","1"
"BM000909","4","6","4"
"BM000910","2","6","1"
"BM000911","10"," 4"," 7"
"BM000912","5","7","7"
"BM000913","7","5","7"
"BM000914","1","4","1"
"BM000915","8","4","5"
"BM000916","10"," 7"," 8"
"BM000917","5","6","4"
"BM000918","5","8","4"
"BM000919","7","6","4"
"BM000920","8","6","7"
"BM000921","10"," 9"," 7"
"BM000922","8","9","7"
"BM000923","4","4","5"
"BM000924","8","9","8"
"BM000925","7","5","5"
"BM000926","7","6","7"
"BM000927","5","6","5"
"BM000928","5","5","7"
"BM000929","5","5","7"
"BM000930","7","7","7"
"BM000931","5","5","8"
"BM000932","5","4","5"
"BM000948","7","5","7"
"BM000949","4","5","5"
"BM000950","7","6","5"
"BM000951","10"," 5"," 7"
"BM000952","8","6","4"
"BM000953","10"," 7"," 8"
"BM000954","10"," 8"," 7"
"BM000955","1","3","1"
"BM000956","4","5","1"
"BM000957","2","4","4"
"BM000958","8","5","7"
"BM001055","7","6","5"
"BM001056","4","4","1"
"BM001057","8","9","8"
"BM001058","4","5","1"
"BM001059","4","5","1"
"BM001060","7","7","8"
"BM001061","5","5","7"
"BM001062","5","6","8"
"BM001063","5","6","8"
"BM001064","5","5","7"
"BM001065","5","5","7"
"BM001066","5","5","5"
"BM001067","4","7","5"
"BM001068","8","4","5"
"BM001069","7","6","5"
"BM001070","7","5","8"
"BM001071","8","6","8"
"BM001072","5","6","7"
"BM001073","1","4","1"
"BM001074","1","4","1"
"BM001075","5","4","7"
"BM001076","1","4","1"
"BM001077","5","6","7"
"BM001078","1","3","1"
"BM001079","10"," 8"," 8"
"BM001080","5","4","7"
"BM001081","7","6","7"
"BM001082","7","9","5"
"BM001083","5","7","5"
"BM001084","5","6","5"
"BM001085","5","4","7"
"BM001086","5","5","5"
"BM001087","5","6","7"
"BM001088","7","6","8"
"BM001089","7","6","7"
"BM001090","7","7","7"
"BM001091","1","4","1"
"BM001092","8","7","5"
"BM001093","8","7","8"
"BM001094","1","4","1"
"BM001095","8","6","8"
"BM001096","5","7","5"
"BM001097","1","4","1"
"BM001098","4","4","1"
"BM001099","7","6","7"
"BM001100","5","6","7"
"BM001101","1","4","1"
"BM001102","7","7","5"
"BM001103","1","3","1"
"BM001104","8","8","8"
"BM001105","7","9","8"
"BM001106","1","4","1"
"BM001107","10"," 9"," 7"
"BM001108","10"," 8"," 8"
"BM001109","7","6","5"
"BM001110","2","5","2"
"BM001111","1","6","1"
"BM001112","8","7","7"
"BM001113","7","6","5"
"BM001114","5","5","7"
"BM001115","8","6","5"
"BM001116","5","5","7"
"BM001117","5","4","7"
"BM001118","5","4","7"
"BM001119","5","6","5"
"BM001120","7","7","5"
"BM001121","8","8","7"
"BM001122","7","6","7"
"BM001123","7","7","7"
"BM001124","7","6","4"
"BM001125","7","7","7"
"BM001126","1","5","1"
"BM001127","1","6","1"
"BM001128","7","7","2"
"BM001129","7","4","4"
"BM001130","7","6","7"
"BM001131","7","6","8"
"BM001132","7","7","7"
"BM001133","8","5","7"
"BM001134","10"," 7"," 7"
"BM001135","10"," 7"," 7"
"BM001136","10"," 6"," 4"
"BM001137","7","6","7"
"BM001138","7","5","8"
"BM001139","10"," 9"," 8"
"BM001140","5","8","7"
"BM001141","1","6","1"
"BM001142","1","4","1"
"BM001143","8","9","7"
"BM001144","7","7","7"
"BM001145","1","5","1"
"BM001146","8","9","7"
"BM001147","10"," 8"," 8"
"BM001148","5","5","7"
"BM001149","8","7","8"
"BM001150","5","7","5"
"BM001151","8","8","7"
"BM001152","10"," 9"," 8"
"BM001153","8","9","8"
"BM001154","1","7","2"
"BM001155","7","8","7"
"BM001156","7","6","7"
"BM001157","1","5","1"
"BM001158","8","8","7"
"BM001159","7","5","5"
"BM001160","8","8","7"
"BM001161","1","4","2"
"BM001162","8","8","8"
"BM001163","10"," 7"," 5"
"BM001164","7","7","7"
"BM001165","5","6","5"
"BM001166","8","8","7"
"BM001167","7","8","8"
"BM001168","8","9","8"
"BM001169","8","7","8"
"BM001170","10"," 8"," 7"
"BM001171","10"," 8"," 7"
"BM001172","1","6","1"
"BM001173","7","7","7"
"BM001174","8","9","7"
"BM001175","5","9","5"
"BM001176","8","6","5"
"BM001177","2","6","4"
"BM001178","10"," 7"," 7"
"BM001179","8","9","7"
"BM001180","8","8","7"
"BM001181","8","6","7"
"BM001182","5","6","5"
"BM001183","4","7","5"
"BM001184","2","4","1"
"BM001185","4","6","5"
"BM001186","5","4","7"
"BM001187","10"," 7"," 7"
"BM001188","1","4","1"
"BM001189","1","6","1"
"BM001190","1","4","2"
"BM001191","1","3","1"
"BM001192","5","6","5"
"BM001193","5","7","7"
"BM001194","5","6","5"
"BM001195","1","3","1"
"BM001196","10"," 7"," 7"
"BM001197","7","6","5"
"BM001198","1","4","1"
"BM001199","4","5","5"
"BM001200","7","6","7"
"BM001201","5","5","7"
"BM001202","7","5","7"
"BM001203","7","7","7"
"BM001204","5","5","7"
"BM001205","7","6","7"
"BM001206","5","5","5"
"BM001207","7","5","5"
"BM001208","8","8","5"
"BM001209","2","6","1"
"BM001210","8","6","8"
"BM001211","7","6","5"
"BM001212","1","4","1"
"BM001213","5","5","5"
"BM001214","7","8","8"
"BM001215","5","7","7"
"BM001216","1","5","1"
"BM001217","7","6","5"
"BM001218","1","5","1"
"BM001219","1","6","1"
"BM001220","7","5","5"
"BM001221","1","3","1"
"BM001222","7","6","7"
"BM001223","5","4","7"
"BM001224","8","7","7"
"BM001225","7","4","5"
"BM001226","10"," 7"," 7"
"BM001227","2","3","4"
"BM001228","7","6","4"
"BM001229","10"," 6"," 8"
"BM001230","8","7","7"
"BM001231","5","5","5"
"BM001232","5","5","5"
"BM001233","5","7","5"
"BM001234","8","4","5"
"BM001235","5","4","5"
"BM001236","8","9","5"
"BM001237","5","5","5"
"BM001238","5","6","5"
"BM001239","5","6","7"
"BM001240","7","6","5"
"BM001241","1","4","1"
"BM001242","7","7","7"
"BM001243","5","5","5"
"BM001244","7","5","5"
"BM001245","7","7","7"
"BM001246","4","6","5"
"BM001247","1","4","1"
"BM001248","5","5","7"
"BM001249","1","5","2"
"BM001250","8","7","8"
"BM001251","5","6","7"
"BM001252","5","5","5"
"BM001253","2","4","2"
"BM001254","7","4","5"
"BM001255","4","6","4"
"BM001256","5","4","7"
"BM001257","5","5","7"
"BM001258","7","4","5"
"BM001259","8","7","7"
"BM001260","5","4","5"
"BM001261","5","4","7"
"BM001262","1","3","2"
"BM001263","4","3","4"
"BM001264","5","4","7"
"BM000113","7","6","5"
"BM000114","8","6","8"
"BM000115","2","4","1"
"BM000116","4","5","1"
"BM000117","7","7","7"
